method,status,skip_reason,num_queries,hit_at_1,hit_at_1_ci95_low,hit_at_1_ci95_high,hit_at_3,hit_at_3_ci95_low,hit_at_3_ci95_high,mrr,mrr_ci95_low,mrr_ci95_high,ndcg_at_3,ndcg_at_3_ci95_low,ndcg_at_3_ci95_high,mean_feature_distance,mean_feature_distance_ci95_low,mean_feature_distance_ci95_high,mean_path_f1,mean_path_f1_ci95_low,mean_path_f1_ci95_high,mean_path_ndtw,mean_path_ndtw_ci95_low,mean_path_ndtw_ci95_high,mean_path_edit_distance,mean_path_edit_distance_ci95_low,mean_path_edit_distance_ci95_high,mean_path_max_distance_m,mean_path_max_distance_m_ci95_low,mean_path_max_distance_m_ci95_high
oracle_feature_upper_bound,ran,,250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988,0.972,1.0,1.5077854381813407,1.4159930841619854,1.598259012843319,0.5565008354937868,0.5191736770523162,0.5932954718695349,0.30796683009642073,0.26422613318197186,0.3538960283623884,78.416,67.2797,90.64189999999999,900.2637716245694,779.8194025991012,1037.4486993717658
oracle_path_upper_bound,ran,,250,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7088204581713367,1.6173278150920534,1.8035311512472723,0.6441046346717044,0.6088577971698885,0.6782207209937329,0.37426730327647795,0.3334706404340292,0.4191982748853363,72.976,61.6993,84.6786,808.745602784639,691.9425957068432,952.5077235819418
random,ran,,250,0.116,0.08,0.156,0.34,0.28,0.396,0.3154238095238095,0.2810139682539683,0.35126738095238097,0.5455300662508176,0.5174233667509791,0.5720517106896501,1.9308444252748518,1.8590513859672684,1.9985903654199528,0.4740740853147422,0.437520236686292,0.5086082633988153,0.23252230523660938,0.1952506306811664,0.2721988881156687,82.6,70.8697,95.36909999999999,939.8571254205953,812.7601813786513,1078.0607215022726
shortest_distance,ran,,250,0.088,0.056,0.128,0.28,0.224,0.34,0.2728126984126984,0.24079634920634924,0.3052875396825397,0.5324522933084275,0.4932605618877451,0.5742093679636154,1.900370963286537,1.8124933011307978,1.9802724560372789,0.516681756529996,0.47802513814844894,0.5525297525532273,0.26532183680308585,0.22642573108702377,0.30551041183388294,79.928,68.7073,91.7933,920.741968299909,794.1112834057772,1048.0551334246018
profile,ran,,250,0.084,0.052,0.124,0.232,0.176,0.288,0.25984444444444443,0.23054968253968255,0.28986999999999996,0.4616613805278264,0.4216347458052402,0.5041163412283534,2.048322613393407,1.9883848448469437,2.1074465608307578,0.4405357760057674,0.41160555384050845,0.4717203762884805,0.18688717998916246,0.15635321339571032,0.21808288593712624,83.904,72.9199,96.0322,969.9862193322755,851.0366687304387,1101.3887477684113
vehicle_profile_no_temporal,ran,,250,0.228,0.18,0.28,0.456,0.3919,0.516,0.4165126984126984,0.37392424603174607,0.4592694444444444,0.6178389707776382,0.5784590303312276,0.6548703954451222,1.9328329006986469,1.875735084773382,1.99185341168324,0.46254932745704697,0.4300591249203789,0.49902418942906807,0.21102513263706885,0.1772902316209128,0.24396319920878265,83.116,72.84309999999999,95.34469999999999,964.7643847986251,834.7652927503051,1098.3487721683073
vehicle_profile,ran,,250,0.212,0.16,0.26,0.44,0.38,0.5,0.4056888888888889,0.3650717857142857,0.44855289682539684,0.615679254225988,0.5753050750998927,0.6512682405878949,1.917874907332849,1.8463826413920443,1.9787500987760933,0.4643988242772361,0.43070777940441296,0.4977515440243882,0.21548223727503388,0.1816186295599848,0.2540268344315233,83.2,72.102,94.6168,969.5155087141467,850.7830842565199,1103.7252153313548
learned_feature_ranker,ran,,247,0.15789473684210525,0.10931174089068826,0.19848178137651815,0.4048582995951417,0.3481781376518219,0.46963562753036436,0.3541979949874686,0.3145484303707988,0.39342237806053604,0.5960069048190318,0.5575804311631539,0.6344583953364477,1.8435717532750078,1.7634269932958981,1.9164136045895555,0.48278378984003545,0.44702366878239347,0.5187719651241386,0.237287790981148,0.20189603936131179,0.27648929352254703,81.98380566801619,70.78512145748988,93.82277327935223,945.5798677774455,821.0506391019296,1077.0518985107306
prompt_sbert,skipped,Porto trajectories do not include natural-language preference text.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,skipped,Hybrid requires both profile history and natural-language preference text.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
